Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Employment Years
,Long Term,684.0,1307390.0,Home Mortgage,Other,2124.58,16.6,,6.0,9.0,147801.0,296098.0,0.0,9.0,10.0
44660.0,Short Term,738.0,1349950.0,Home Mortgage,Debt Consolidation,17099.43,28.2,39.0,10.0,0.0,425999.0,536162.0,0.0,0.0,10.0
157872.0,Short Term,745.0,1761167.0,Home Mortgage,Debt Consolidation,36103.99,22.7,75.0,10.0,0.0,445284.0,751608.0,0.0,0.0,10.0
533236.0,Short Term,747.0,2340952.0,Home Mortgage,Debt Consolidation,22824.32,14.5,,7.0,0.0,135033.0,878350.0,0.0,0.0,9.0
99924.0,Short Term,,,Rent,Debt Consolidation,8413.77,11.7,15.0,5.0,0.0,39083.0,71038.0,0.0,0.0,
542586.0,Short Term,724.0,1499480.0,Home Mortgage,Debt Consolidation,28739.97,25.9,42.0,21.0,0.0,325470.0,1380390.0,0.0,0.0,10.0
403876.0,Long Term,662.0,1317707.0,Own Home,Debt Consolidation,28111.26,20.5,44.0,12.0,0.0,180329.0,249172.0,0.0,0.0,0.0
163064.0,Short Term,704.0,743660.0,Home Mortgage,Debt Consolidation,21070.24,33.6,,11.0,0.0,993757.0,1622940.0,0.0,0.0,5.0
435776.0,Short Term,733.0,1693584.0,Home Mortgage,Debt Consolidation,15806.86,12.0,,12.0,0.0,370747.0,727584.0,0.0,0.0,10.0
322718.0,Short Term,748.0,1114806.0,Home Mortgage,Debt Consolidation,26383.78,22.3,,13.0,0.0,244568.0,1236620.0,0.0,0.0,10.0
329472.0,Short Term,,,Home Mortgage,Debt Consolidation,24660.48,14.8,,13.0,0.0,349752.0,1091596.0,0.0,0.0,6.0
329670.0,Short Term,709.0,1081917.0,Home Mortgage,Debt Consolidation,28310.19,14.9,,14.0,0.0,300903.0,413292.0,0.0,0.0,10.0
266024.0,Short Term,,,Rent,Debt Consolidation,8488.06,23.4,,6.0,0.0,248083.0,588610.0,0.0,0.0,2.0
442376.0,Short Term,740.0,1489999.0,Home Mortgage,Debt Consolidation,25081.71,18.2,,10.0,0.0,577334.0,898502.0,0.0,0.0,10.0
131164.0,Short Term,,,Rent,Debt Consolidation,17487.79,12.7,63.0,4.0,0.0,21964.0,30602.0,0.0,0.0,6.0
539242.0,Short Term,,,Home Mortgage,Home Improvements,16280.53,15.2,73.0,9.0,0.0,381672.0,600446.0,0.0,0.0,6.0
402842.0,Short Term,734.0,850459.0,Own Home,Debt Consolidation,14457.86,12.0,,17.0,0.0,394649.0,658460.0,0.0,0.0,2.0
270600.0,Short Term,742.0,779000.0,Rent,Debt Consolidation,10581.29,10.3,,10.0,0.0,255740.0,496034.0,0.0,0.0,1.0
98098.0,Short Term,719.0,628311.0,Rent,Debt Consolidation,13718.19,20.4,,6.0,0.0,192679.0,262482.0,0.0,0.0,10.0
269148.0,Short Term,,,Rent,Debt Consolidation,7159.96,27.1,,11.0,0.0,115596.0,367752.0,0.0,0.0,5.0
751146.0,Long Term,700.0,1668105.0,Home Mortgage,Debt Consolidation,42258.66,17.8,,13.0,0.0,838128.0,1184942.0,0.0,0.0,4.0
,Short Term,717.0,2401847.0,Home Mortgage,Debt Consolidation,16772.82,18.0,,18.0,1.0,231572.0,433884.0,1.0,0.0,7.0
666072.0,Short Term,742.0,1917480.0,Home Mortgage,Debt Consolidation,44900.99,18.6,,18.0,0.0,1384150.0,3522442.0,0.0,0.0,10.0
21626.0,Short Term,714.0,854221.0,Home Mortgage,Other,6428.08,11.4,,9.0,0.0,155458.0,203390.0,0.0,0.0,5.0
546260.0,Long Term,676.0,1226602.0,Home Mortgage,Debt Consolidation,24225.38,18.6,,11.0,0.0,528789.0,1015410.0,0.0,0.0,10.0
,Short Term,733.0,484937.0,Rent,Debt Consolidation,11355.54,17.5,67.0,8.0,2.0,30514.0,195206.0,1.0,1.0,0.0
164956.0,Short Term,,,Own Home,Debt Consolidation,18557.87,29.6,8.0,17.0,0.0,180880.0,386408.0,0.0,0.0,10.0
,Short Term,727.0,392939.0,Rent,Debt Consolidation,2514.84,13.4,11.0,5.0,1.0,40413.0,96470.0,1.0,0.0,
,Short Term,705.0,874323.0,Rent,Debt Consolidation,3606.77,31.4,,12.0,2.0,76684.0,477400.0,2.0,0.0,4.0
,Short Term,739.0,1429997.0,Home Mortgage,Debt Consolidation,27288.94,38.0,,10.0,0.0,584117.0,1288276.0,0.0,0.0,6.0
376354.0,Long Term,726.0,1035652.0,Rent,Debt Consolidation,23742.21,19.8,,13.0,0.0,66424.0,680614.0,0.0,0.0,10.0
247830.0,Short Term,,,Rent,Debt Consolidation,4224.08,12.3,,6.0,0.0,87856.0,131428.0,0.0,0.0,9.0
179938.0,Short Term,,,Rent,Debt Consolidation,6413.26,14.6,45.0,6.0,0.0,27987.0,247412.0,0.0,0.0,2.0
446380.0,Short Term,745.0,877040.0,Home Mortgage,Debt Consolidation,13594.12,17.6,,7.0,0.0,400425.0,692032.0,0.0,0.0,1.0
333366.0,Short Term,750.0,1343566.0,Rent,Debt Consolidation,9035.45,13.0,,6.0,0.0,282017.0,426866.0,0.0,0.0,10.0
218790.0,Short Term,749.0,1133730.0,Home Mortgage,Debt Consolidation,23335.99,21.5,,13.0,0.0,276051.0,847836.0,0.0,0.0,5.0
206734.0,Short Term,668.0,995600.0,Rent,Debt Consolidation,8960.4,15.6,13.0,4.0,0.0,62567.0,144034.0,0.0,0.0,2.0
293986.0,Short Term,716.0,1045494.0,Home Mortgage,Debt Consolidation,10210.79,16.0,18.0,9.0,0.0,280098.0,495132.0,0.0,0.0,4.0
208164.0,Short Term,721.0,1779312.0,Home Mortgage,Debt Consolidation,19869.06,21.2,15.0,17.0,1.0,111017.0,257620.0,1.0,0.0,10.0
353584.0,Short Term,,,Home Mortgage,Home Improvements,12549.31,25.5,8.0,18.0,0.0,179721.0,350944.0,0.0,0.0,
221650.0,Long Term,705.0,1148550.0,Home Mortgage,Other,8020.66,21.4,6.0,6.0,1.0,30324.0,230978.0,1.0,0.0,10.0
130680.0,Short Term,749.0,1504800.0,Home Mortgage,Debt Consolidation,5630.46,15.6,21.0,10.0,0.0,144438.0,521026.0,0.0,0.0,7.0
225368.0,Short Term,,,Rent,Debt Consolidation,14597.7,9.2,40.0,17.0,0.0,183350.0,572242.0,0.0,0.0,5.0
621962.0,Short Term,,,Home Mortgage,Debt Consolidation,22494.29,8.7,,10.0,0.0,224200.0,378422.0,0.0,0.0,3.0
376332.0,Short Term,719.0,1692767.0,Home Mortgage,Debt Consolidation,26660.99,22.0,30.0,12.0,0.0,264955.0,401038.0,0.0,0.0,0.0
224554.0,Short Term,725.0,814511.0,Rent,Debt Consolidation,17308.43,16.8,53.0,10.0,0.0,193154.0,341968.0,0.0,0.0,9.0
765996.0,Short Term,672.0,3780240.0,Home Mortgage,Debt Consolidation,20948.83,17.7,,8.0,0.0,797753.0,1091860.0,0.0,0.0,10.0
99242.0,Short Term,742.0,952375.0,Rent,Debt Consolidation,16269.89,15.4,,15.0,0.0,185554.0,394966.0,0.0,0.0,1.0
69190.0,Short Term,693.0,1242790.0,Home Mortgage,Debt Consolidation,17916.62,23.5,48.0,10.0,1.0,152551.0,236786.0,1.0,0.0,10.0
49940.0,Short Term,724.0,910176.0,Rent,Debt Consolidation,7584.8,16.8,58.0,12.0,0.0,205827.0,285428.0,0.0,0.0,10.0
538670.0,Short Term,729.0,4361355.0,Rent,Debt Consolidation,86500.16,13.0,,11.0,0.0,750899.0,1261920.0,0.0,0.0,7.0
374220.0,Short Term,743.0,2068435.0,Home Mortgage,Debt Consolidation,4998.71,40.5,80.0,6.0,0.0,157282.0,422554.0,0.0,0.0,10.0
326876.0,Short Term,694.0,1016253.0,Rent,Debt Consolidation,13456.94,25.6,,28.0,0.0,386916.0,2434806.0,0.0,0.0,10.0
324852.0,Long Term,,,Rent,Debt Consolidation,17800.91,13.4,,25.0,0.0,168777.0,253462.0,0.0,0.0,7.0
563706.0,Long Term,728.0,1849954.0,Home Mortgage,Home Improvements,23278.61,25.5,48.0,11.0,0.0,571634.0,946924.0,0.0,0.0,1.0
219626.0,Short Term,,,Home Mortgage,Debt Consolidation,40477.03,15.1,,11.0,0.0,342760.0,485188.0,0.0,0.0,5.0
118008.0,Short Term,737.0,769196.0,Rent,Debt Consolidation,12114.78,21.0,,10.0,0.0,346104.0,699380.0,0.0,0.0,8.0
85888.0,Short Term,683.0,289313.0,Rent,Buy A Car,2873.94,9.5,,3.0,0.0,25840.0,51590.0,0.0,0.0,3.0
472428.0,Long Term,719.0,1182275.0,Home Mortgage,Debt Consolidation,17339.97,17.1,,14.0,0.0,199006.0,687852.0,0.0,0.0,0.0
378070.0,Short Term,723.0,1480081.0,Home Mortgage,Debt Consolidation,13320.9,12.9,37.0,19.0,0.0,383990.0,880462.0,0.0,0.0,2.0
269720.0,Long Term,734.0,1358861.0,Home Mortgage,Debt Consolidation,14947.49,11.2,,10.0,0.0,209190.0,409156.0,0.0,0.0,2.0
,Short Term,719.0,1871500.0,Home Mortgage,Debt Consolidation,16531.52,27.3,36.0,10.0,1.0,105773.0,184184.0,1.0,0.0,8.0
280258.0,Long Term,677.0,1154326.0,Home Mortgage,Debt Consolidation,15487.09,23.3,,11.0,1.0,233130.0,338294.0,1.0,0.0,8.0
516340.0,Long Term,721.0,1300607.0,Home Mortgage,Debt Consolidation,18967.13,18.5,,11.0,0.0,536541.0,787380.0,0.0,0.0,9.0
245718.0,Short Term,,,Rent,Debt Consolidation,13491.33,20.0,15.0,7.0,0.0,126711.0,160886.0,0.0,0.0,7.0
755766.0,Long Term,658.0,1864850.0,Home Mortgage,Debt Consolidation,27195.65,20.0,42.0,10.0,0.0,417145.0,557106.0,0.0,0.0,10.0
,Short Term,741.0,764256.0,Rent,Debt Consolidation,5846.49,19.6,,5.0,0.0,259977.0,391446.0,0.0,0.0,10.0
33440.0,Short Term,750.0,942761.0,Rent,Debt Consolidation,9349.14,11.4,,11.0,0.0,8740.0,778602.0,0.0,0.0,2.0
660462.0,Short Term,730.0,2851995.0,Home Mortgage,Debt Consolidation,15234.39,36.8,,11.0,0.0,684912.0,1023308.0,0.0,0.0,10.0
314446.0,Short Term,723.0,1803936.0,Rent,Debt Consolidation,2675.77,14.6,12.0,5.0,0.0,80503.0,271744.0,0.0,0.0,3.0
218130.0,Short Term,740.0,626373.0,Home Mortgage,Buy House,6211.48,17.0,27.0,6.0,0.0,90421.0,132198.0,0.0,0.0,4.0
470096.0,Short Term,,,Home Mortgage,Debt Consolidation,48935.45,30.0,,12.0,0.0,791388.0,1068012.0,0.0,0.0,10.0
167618.0,Long Term,731.0,641934.0,Home Mortgage,Other,6520.99,9.5,,6.0,0.0,63916.0,96118.0,0.0,0.0,2.0
303028.0,Short Term,,,Home Mortgage,Debt Consolidation,23885.66,17.4,13.0,6.0,0.0,357276.0,425590.0,0.0,0.0,1.0
133606.0,Short Term,,,Rent,Debt Consolidation,22993.99,14.4,,10.0,1.0,136078.0,189398.0,1.0,0.0,5.0
308990.0,Long Term,,,Home Mortgage,Home Improvements,14581.55,16.7,20.0,9.0,0.0,15960.0,318494.0,0.0,0.0,10.0
,Short Term,703.0,1063107.0,Home Mortgage,Debt Consolidation,18692.96,23.2,38.0,7.0,1.0,54739.0,96910.0,1.0,0.0,10.0
784322.0,Short Term,686.0,3870680.0,Home Mortgage,Debt Consolidation,50963.89,16.3,72.0,20.0,0.0,805296.0,1025794.0,0.0,0.0,1.0
332574.0,Short Term,,,Rent,Home Improvements,7937.44,12.0,66.0,12.0,0.0,132126.0,1026740.0,0.0,0.0,6.0
439560.0,Short Term,,,Home Mortgage,Debt Consolidation,50149.36,14.5,44.0,37.0,0.0,785460.0,1612556.0,0.0,0.0,10.0
252890.0,Short Term,706.0,654759.0,Home Mortgage,Debt Consolidation,16259.82,15.0,,14.0,0.0,201704.0,339944.0,0.0,0.0,0.0
,Short Term,735.0,1025278.0,Own Home,Debt Consolidation,11278.02,17.6,,16.0,0.0,157415.0,461450.0,0.0,0.0,10.0
110946.0,Short Term,704.0,843182.0,Rent,Other,11031.78,16.1,,14.0,1.0,104918.0,357302.0,1.0,0.0,4.0
141526.0,Short Term,727.0,564129.0,Own Home,Home Improvements,9778.16,5.9,,9.0,0.0,91941.0,121924.0,0.0,0.0,7.0
511324.0,Short Term,743.0,2073546.0,Home Mortgage,Debt Consolidation,24709.69,20.1,37.0,7.0,1.0,82783.0,284438.0,0.0,0.0,1.0
132484.0,Short Term,,,Own Home,Debt Consolidation,9023.48,8.4,36.0,4.0,0.0,13642.0,27896.0,0.0,0.0,
301510.0,Long Term,726.0,3452832.0,Home Mortgage,Business Loan,43505.63,21.5,13.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0
108878.0,Short Term,730.0,2127582.0,Rent,Debt Consolidation,29076.84,15.8,82.0,10.0,0.0,182932.0,312422.0,0.0,0.0,10.0
441408.0,Short Term,740.0,1562978.0,Rent,Debt Consolidation,26440.59,25.3,40.0,12.0,0.0,151962.0,429132.0,0.0,0.0,5.0
519816.0,Long Term,,,Home Mortgage,Debt Consolidation,16233.22,18.0,,4.0,0.0,126578.0,241450.0,0.0,0.0,4.0
129800.0,Long Term,663.0,1401212.0,Home Mortgage,Debt Consolidation,14595.8,19.4,,13.0,1.0,113031.0,521422.0,1.0,0.0,10.0
250008.0,Short Term,725.0,1542192.0,Home Mortgage,Debt Consolidation,27888.01,19.8,16.0,11.0,0.0,119928.0,156200.0,0.0,0.0,5.0
337634.0,Short Term,723.0,1519696.0,Rent,Other,19756.01,11.9,,15.0,0.0,306337.0,481932.0,0.0,0.0,0.0
325886.0,Short Term,720.0,719207.0,Own Home,Debt Consolidation,11087.64,14.7,29.0,6.0,0.0,147744.0,244398.0,0.0,0.0,3.0
,Short Term,748.0,1393517.0,Home Mortgage,Debt Consolidation,33676.74,36.0,,12.0,0.0,440268.0,795300.0,0.0,0.0,10.0
356994.0,Long Term,,,Own Home,Other,7286.5,20.6,11.0,8.0,0.0,123538.0,481646.0,0.0,0.0,0.0
437580.0,Long Term,738.0,1100480.0,Home Mortgage,Debt Consolidation,16323.66,17.6,25.0,12.0,0.0,22800.0,455312.0,0.0,0.0,8.0
325446.0,Short Term,728.0,655823.0,Home Mortgage,Debt Consolidation,7596.77,15.1,22.0,6.0,0.0,264157.0,332112.0,0.0,0.0,0.0
,Short Term,742.0,1939900.0,Home Mortgage,Debt Consolidation,39606.45,15.5,,11.0,0.0,43130.0,96580.0,0.0,0.0,6.0
,Short Term,713.0,744496.0,Rent,Debt Consolidation,15882.48,14.3,22.0,11.0,0.0,150195.0,180994.0,0.0,0.0,0.0
431222.0,Short Term,748.0,854430.0,Rent,Buy House,833.15,14.5,16.0,11.0,0.0,6175.0,649132.0,0.0,0.0,5.0
244926.0,Short Term,695.0,826880.0,Rent,Debt Consolidation,14194.9,15.5,,14.0,0.0,168017.0,316338.0,0.0,0.0,4.0
173646.0,Short Term,,,Home Mortgage,Debt Consolidation,13949.61,21.4,19.0,11.0,0.0,112176.0,195294.0,0.0,0.0,6.0
79046.0,Short Term,735.0,258077.0,Rent,Debt Consolidation,2709.78,18.1,,4.0,1.0,126768.0,194150.0,1.0,0.0,
151822.0,Short Term,740.0,2903181.0,Home Mortgage,Debt Consolidation,2951.46,18.9,2.0,11.0,0.0,100700.0,552574.0,0.0,0.0,10.0
313390.0,Short Term,734.0,1372617.0,Home Mortgage,Other,28024.05,16.9,,17.0,0.0,281352.0,606650.0,0.0,0.0,3.0
521312.0,Short Term,733.0,2043811.0,Home Mortgage,Debt Consolidation,39002.63,17.0,47.0,10.0,0.0,1024176.0,1741388.0,0.0,0.0,1.0
764852.0,Short Term,722.0,3793407.0,Home Mortgage,Debt Consolidation,97996.49,25.8,9.0,14.0,0.0,4778671.0,6080426.0,0.0,0.0,6.0
386254.0,Long Term,740.0,1853260.0,Rent,Debt Consolidation,27798.9,13.0,,13.0,0.0,347016.0,1999074.0,0.0,0.0,10.0
462550.0,Short Term,747.0,1585664.0,Home Mortgage,Debt Consolidation,28277.7,21.7,,11.0,0.0,345458.0,835054.0,0.0,0.0,9.0
754842.0,Short Term,705.0,5587710.0,Home Mortgage,Other,53083.34,12.4,,5.0,0.0,444752.0,595342.0,0.0,0.0,7.0
439252.0,Long Term,732.0,2655478.0,Home Mortgage,Debt Consolidation,17658.98,15.8,,9.0,0.0,190361.0,287760.0,0.0,0.0,1.0
,Short Term,732.0,989748.0,Rent,Debt Consolidation,12536.77,15.2,,11.0,0.0,192356.0,524040.0,0.0,0.0,3.0
669174.0,Long Term,733.0,2735506.0,Home Mortgage,Debt Consolidation,38296.97,19.9,,16.0,0.0,712994.0,3735666.0,0.0,0.0,8.0
471416.0,Short Term,747.0,1318353.0,Rent,Debt Consolidation,9612.86,29.5,33.0,5.0,0.0,53276.0,224334.0,0.0,0.0,10.0
264858.0,Short Term,745.0,522842.0,Own Home,Home Improvements,6840.57,26.0,,4.0,0.0,69312.0,469370.0,0.0,0.0,10.0
111276.0,Long Term,700.0,676039.0,Home Mortgage,Debt Consolidation,11475.81,17.5,42.0,10.0,0.0,234821.0,668052.0,0.0,0.0,0.0
330770.0,Long Term,677.0,742710.0,Home Mortgage,Debt Consolidation,15225.46,22.7,76.0,14.0,0.0,1132438.0,1647294.0,0.0,0.0,10.0
382932.0,Short Term,710.0,844398.0,Rent,Debt Consolidation,18999.05,16.7,,16.0,0.0,225207.0,293348.0,0.0,0.0,3.0
78452.0,Short Term,,,Rent,Debt Consolidation,9120.0,8.8,,10.0,0.0,125571.0,210716.0,0.0,0.0,4.0
,Short Term,723.0,1310582.0,Home Mortgage,Debt Consolidation,17911.3,13.0,,12.0,1.0,99408.0,311960.0,1.0,0.0,5.0
322652.0,Long Term,741.0,947397.0,Home Mortgage,Debt Consolidation,23369.05,10.0,,9.0,0.0,191406.0,464640.0,0.0,0.0,6.0
56144.0,Long Term,640.0,1842544.0,Rent,Other,19039.71,16.3,40.0,11.0,0.0,78413.0,376750.0,0.0,0.0,10.0
206646.0,Short Term,727.0,1357037.0,Rent,Debt Consolidation,14248.86,15.0,,8.0,0.0,233833.0,454300.0,0.0,0.0,10.0
37796.0,Short Term,,,Rent,Other,17871.21,12.9,,8.0,0.0,56943.0,66660.0,0.0,0.0,4.0
326612.0,Short Term,746.0,1504344.0,Rent,Debt Consolidation,11646.05,20.9,65.0,10.0,0.0,282093.0,633050.0,0.0,0.0,5.0
352132.0,Short Term,,,Rent,Debt Consolidation,3285.1,13.2,,7.0,0.0,253422.0,669944.0,0.0,0.0,4.0
282458.0,Short Term,731.0,806873.0,Rent,Debt Consolidation,16137.46,15.8,,7.0,0.0,238716.0,284680.0,0.0,0.0,10.0
84612.0,Short Term,635.0,673056.0,Home Mortgage,Home Improvements,3808.36,5.9,,4.0,0.0,92777.0,111342.0,0.0,0.0,4.0
,Short Term,740.0,353894.0,Rent,Debt Consolidation,3302.96,11.3,,7.0,0.0,110504.0,196262.0,0.0,0.0,2.0
155496.0,Short Term,701.0,1081727.0,Rent,Debt Consolidation,1847.94,22.3,26.0,6.0,0.0,72257.0,92862.0,0.0,0.0,9.0
163834.0,Short Term,695.0,1414892.0,Rent,Debt Consolidation,8359.62,23.0,,7.0,1.0,488756.0,581042.0,1.0,0.0,5.0
480832.0,Long Term,,,Home Mortgage,Debt Consolidation,24368.26,13.1,,21.0,0.0,617728.0,1108932.0,0.0,0.0,10.0
55066.0,Short Term,707.0,456551.0,Own Home,Debt Consolidation,2206.66,21.5,6.0,9.0,0.0,54891.0,336336.0,0.0,0.0,4.0
654302.0,Short Term,682.0,1258959.0,Own Home,Debt Consolidation,14687.76,11.4,,14.0,0.0,207993.0,269104.0,0.0,0.0,5.0
,Short Term,735.0,4174642.0,Own Home,Debt Consolidation,30301.01,22.4,29.0,7.0,0.0,415397.0,588016.0,0.0,0.0,2.0
448272.0,Short Term,729.0,2322864.0,Home Mortgage,Buy House,9194.67,14.6,,7.0,0.0,894463.0,10461484.0,0.0,0.0,6.0
109164.0,Short Term,707.0,1508448.0,Rent,Debt Consolidation,4789.33,14.1,79.0,12.0,0.0,109801.0,266530.0,0.0,0.0,0.0
164714.0,Short Term,731.0,455183.0,Rent,Debt Consolidation,10469.19,12.6,,7.0,3.0,64239.0,270468.0,3.0,0.0,
53636.0,Short Term,749.0,1204372.0,Home Mortgage,Home Improvements,15175.11,30.0,22.0,8.0,0.0,38722.0,347600.0,0.0,0.0,2.0
,Short Term,739.0,950570.0,Rent,Debt Consolidation,26061.35,14.9,,16.0,0.0,358093.0,548460.0,0.0,0.0,5.0
536426.0,Short Term,690.0,1771237.0,Rent,Debt Consolidation,24059.32,24.2,9.0,16.0,0.0,480643.0,722788.0,0.0,0.0,5.0
103752.0,Short Term,738.0,952052.0,Home Mortgage,Debt Consolidation,4403.25,22.3,,8.0,0.0,128079.0,207416.0,0.0,0.0,0.0
324852.0,Short Term,744.0,2618504.0,Own Home,Debt Consolidation,17151.11,17.5,13.0,15.0,0.0,262162.0,544016.0,0.0,0.0,3.0
,Short Term,741.0,649040.0,Home Mortgage,Debt Consolidation,13251.17,16.1,77.0,10.0,0.0,276355.0,592592.0,0.0,0.0,2.0
108636.0,Short Term,716.0,962350.0,Rent,Debt Consolidation,8580.97,17.0,37.0,6.0,0.0,103056.0,135894.0,0.0,0.0,9.0
77814.0,Short Term,711.0,895945.0,Home Mortgage,Debt Consolidation,15604.51,15.4,5.0,21.0,0.0,181602.0,550462.0,0.0,0.0,8.0
332970.0,Long Term,723.0,996892.0,Rent,Debt Consolidation,19190.19,12.8,,14.0,0.0,209836.0,310684.0,0.0,0.0,0.0
649044.0,Long Term,654.0,1457395.0,Home Mortgage,Debt Consolidation,19820.61,16.1,36.0,10.0,0.0,280744.0,452100.0,0.0,0.0,10.0
140118.0,Short Term,742.0,425942.0,Own Home,Debt Consolidation,6460.19,19.7,,5.0,0.0,309852.0,553674.0,0.0,0.0,8.0
751762.0,Long Term,722.0,1669473.0,Home Mortgage,Debt Consolidation,9154.2,13.2,,16.0,0.0,280934.0,1052722.0,0.0,0.0,3.0
108482.0,Short Term,727.0,1124116.0,Home Mortgage,Home Improvements,17330.09,12.5,17.0,11.0,0.0,9937.0,126346.0,0.0,0.0,10.0
225148.0,Short Term,,,Rent,Debt Consolidation,8422.13,16.0,44.0,6.0,0.0,143488.0,495924.0,0.0,0.0,10.0
267124.0,Long Term,675.0,768968.0,Home Mortgage,Debt Consolidation,18391.24,19.0,15.0,11.0,0.0,152836.0,371778.0,0.0,0.0,10.0
78914.0,Short Term,,,Home Mortgage,Buy A Car,25258.03,18.7,31.0,16.0,1.0,226423.0,518144.0,1.0,0.0,2.0
89364.0,Short Term,703.0,546991.0,Home Mortgage,Take A Trip,12170.83,17.7,47.0,4.0,0.0,36138.0,67078.0,0.0,0.0,8.0
605902.0,Short Term,727.0,3737680.0,Rent,Debt Consolidation,59802.88,21.0,18.0,7.0,0.0,226138.0,402204.0,0.0,0.0,4.0
382932.0,Short Term,712.0,933793.0,Rent,Debt Consolidation,19064.98,12.0,74.0,23.0,0.0,339245.0,1359182.0,0.0,0.0,10.0
753522.0,Long Term,660.0,1636223.0,Home Mortgage,Debt Consolidation,28906.6,22.6,,14.0,0.0,608171.0,833382.0,0.0,0.0,10.0
500258.0,Long Term,741.0,987506.0,Home Mortgage,Debt Consolidation,10204.14,23.8,,10.0,0.0,532798.0,1346994.0,0.0,0.0,10.0
323092.0,Long Term,,,Home Mortgage,Debt Consolidation,16605.24,17.3,,16.0,0.0,430635.0,537878.0,0.0,0.0,10.0
,Short Term,732.0,2245572.0,Home Mortgage,Debt Consolidation,30315.26,39.8,66.0,19.0,1.0,377074.0,1001396.0,0.0,1.0,10.0
94688.0,Short Term,723.0,406429.0,Own Home,Other,8975.41,12.0,,5.0,0.0,152247.0,331364.0,0.0,0.0,
266266.0,Short Term,735.0,1341438.0,Home Mortgage,Debt Consolidation,8775.34,16.9,37.0,8.0,1.0,178752.0,277464.0,0.0,0.0,7.0
532180.0,Long Term,724.0,1484128.0,Home Mortgage,Debt Consolidation,12615.05,25.5,47.0,8.0,0.0,405574.0,715880.0,0.0,0.0,6.0
237864.0,Short Term,735.0,570627.0,Rent,Business Loan,190.19,12.2,,5.0,0.0,4864.0,1409540.0,0.0,0.0,0.0
442728.0,Short Term,735.0,3250026.0,Home Mortgage,Debt Consolidation,16791.82,21.6,79.0,15.0,0.0,196175.0,780560.0,0.0,0.0,10.0
229812.0,Long Term,,,Rent,Other,2734.86,8.2,,4.0,0.0,79230.0,105578.0,0.0,0.0,4.0
,Short Term,750.0,813238.0,Home Mortgage,Debt Consolidation,11046.6,20.9,,11.0,0.0,209722.0,902726.0,0.0,0.0,
44198.0,Short Term,714.0,763496.0,Home Mortgage,Debt Consolidation,9925.41,20.0,18.0,6.0,0.0,399855.0,493086.0,0.0,0.0,2.0
313302.0,Long Term,677.0,847058.0,Rent,Debt Consolidation,21882.11,15.4,,7.0,0.0,312911.0,453486.0,0.0,0.0,10.0
436832.0,Long Term,706.0,949943.0,Own Home,Home Improvements,752.02,13.0,43.0,6.0,0.0,27322.0,250998.0,0.0,0.0,6.0
110572.0,Short Term,710.0,859370.0,Home Mortgage,Other,11673.03,13.6,,6.0,2.0,83505.0,119394.0,0.0,0.0,4.0
180202.0,Short Term,,,Home Mortgage,Debt Consolidation,27219.59,24.0,10.0,13.0,0.0,271852.0,371624.0,0.0,0.0,1.0
430276.0,Long Term,717.0,891841.0,Rent,Debt Consolidation,13228.94,12.6,,14.0,0.0,344603.0,831292.0,0.0,0.0,0.0
266156.0,Short Term,,,Rent,Debt Consolidation,17235.47,11.0,,13.0,0.0,211717.0,325996.0,0.0,0.0,10.0
,Short Term,739.0,1521520.0,Home Mortgage,Home Improvements,6098.81,16.2,3.0,8.0,0.0,12939.0,114312.0,0.0,0.0,2.0
,Short Term,737.0,1276078.0,Rent,Debt Consolidation,17333.32,29.9,42.0,7.0,0.0,254809.0,409772.0,0.0,0.0,0.0
174020.0,Short Term,,,Rent,Debt Consolidation,5244.38,9.1,32.0,12.0,0.0,122626.0,554664.0,0.0,0.0,0.0
328746.0,Short Term,740.0,851751.0,Rent,Debt Consolidation,7168.89,19.9,30.0,13.0,1.0,235866.0,488554.0,0.0,0.0,1.0
212784.0,Short Term,694.0,657685.0,Own Home,Debt Consolidation,4099.63,13.9,78.0,10.0,1.0,132905.0,293150.0,1.0,0.0,0.0
266816.0,Short Term,748.0,2150762.0,Home Mortgage,Home Improvements,19894.71,16.3,,10.0,0.0,2012499.0,0.0,0.0,0.0,3.0
324192.0,Short Term,742.0,1679904.0,Home Mortgage,Debt Consolidation,24498.6,18.1,65.0,16.0,0.0,330752.0,735086.0,0.0,0.0,10.0
222200.0,Short Term,,,Own Home,Debt Consolidation,4010.71,16.2,,8.0,0.0,181469.0,344454.0,0.0,0.0,7.0
27720.0,Short Term,723.0,657286.0,Rent,Debt Consolidation,10078.36,12.7,,7.0,1.0,22971.0,165176.0,1.0,0.0,4.0
104104.0,Long Term,701.0,1191699.0,Rent,Other,5640.53,20.2,51.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
429836.0,Short Term,706.0,1092101.0,Home Mortgage,Debt Consolidation,17291.52,12.3,74.0,8.0,0.0,513000.0,609862.0,0.0,0.0,3.0
353584.0,Long Term,707.0,1765404.0,Home Mortgage,Debt Consolidation,53992.11,19.0,,26.0,0.0,913235.0,1303874.0,0.0,0.0,0.0
